Age;Gender;Marital Status;Occupation;Educational Qualifications;Income Category;Monthly Income;Family size;latitude;longitude;Pin code;Output;Feedback
23;Male;Single;Student;Graduate;Unknown;No Income;4;130.103;775.796;560080;Yes;Positive
24;Female;Single;Employee;Graduate;High;25001 to 50000;3;128.893;776.399;560068;Yes;Positive
26;Female;Married;Employee;Post Graduate;Medium;10001 to 25000;2;129.828;776.131;560042;No;Positive
26;Female;Single;Student;Doctor of Philosophy;Unknown;No Income;2;129.757;775.586;560023;Yes;Positive
25;Female;Single;Student;Graduate;Medium;10001 to 25000;2;129.757;775.586;560023;Yes;Positive
28;Female;Married;Employee;Graduate;High;25001 to 50000;5;129.757;775.586;560023;No;Negative 
25;Female;Single;Student;Post Graduate;Unknown;No Income;3;130.734;775.464;560014;Yes;Positive
20;Female;Single;Student;Graduate;Unknown;No Income;2;130.734;775.464;560014;Yes;Positive
27;Female;Married;Self Employeed;Graduate;Wealthy;More than 50000;6;130.734;775.464;560014;No;Positive
25;Female;Married;Employee;Graduate;High;25001 to 50000;3;130.626;775.284;560015;No;Positive
24;Female;Single;Student;Post Graduate;Unknown;No Income;5;130.626;775.284;560015;No;Negative 
25;Female;Married;Employee;Graduate;Wealthy;More than 50000;1;12.977;775.773;560009;No;Negative 
25;Female;Prefer not to say;Employee;Post Graduate;High;25001 to 50000;3;12.998;776.227;560005;No;Negative 
24;Female;Married;Student;Doctor of Philosophy;Low;Below Rs.10000;5;130.626;775.284;560015;Yes;Positive
24;Male;Single;Student;Post Graduate;Unknown;No Income;3;130.626;775.284;560015;Yes;Positive
22;Male;Single;Employee;Graduate;Medium;10001 to 25000;1;130.138;775.877;560006;Yes;Positive
28;Male;Single;Employee;Post Graduate;High;25001 to 50000;2;130.138;775.877;560006;No;Negative 
25;Female;Single;Employee;Post Graduate;Wealthy;More than 50000;6;13.014;775.658;560012;No;Negative 
22;Male;Single;Student;Post Graduate;Low;Below Rs.10000;3;129.551;776.593;560017;Yes;Negative 
22;Female;Single;Student;Graduate;Unknown;No Income;6;129.473;775.616;560019;Yes;Positive
22;Male;Single;Student;Post Graduate;Low;Below Rs.10000;4;12.985;775.533;560010;Yes;Positive
27;Female;Married;Employee;Post Graduate;Wealthy;More than 50000;2;129.299;776.848;560103;Yes;Positive
22;Male;Single;Student;Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
24;Female;Single;Student;Post Graduate;Unknown;No Income;3;129.828;776.131;560042;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;2;129.766;775.993;560001;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;4;129.854;777.081;560048;Yes;Positive
22;Female;Single;Student;Post Graduate;Unknown;No Income;5;12.985;775.533;560010;Yes;Positive
23;Male;Single;Student;Post Graduate;Low;Below Rs.10000;2;12.977;775.773;560009;Yes;Negative 
32;Male;Married;Employee;Graduate;Wealthy;More than 50000;5;129.037;775.376;560061;Yes;Positive
25;Female;Married;Student;Post Graduate;Unknown;No Income;2;128.834;775.486;560062;Yes;Positive
28;Male;Single;Self Employeed;Post Graduate;Medium;10001 to 25000;2;129.149;775.635;560070;Yes;Positive
21;Female;Single;Student;Post Graduate;Unknown;No Income;3;129.149;775.635;560070;Yes;Positive
24;Male;Single;Student;Post Graduate;Unknown;No Income;2;129.706;776.529;560075;Yes;Positive
26;Female;Married;Self Employeed;Graduate;Medium;10001 to 25000;5;129.706;776.529;560075;No;Negative 
32;Male;Married;Employee;Graduate;High;25001 to 50000;3;129.706;776.529;560075;Yes;Positive
29;Male;Single;Self Employeed;Graduate;Wealthy;More than 50000;6;128.845;776.036;560076;Yes;Positive
21;Male;Single;Student;Graduate;Unknown;No Income;5;129.783;776.408;560038;Yes;Positive
24;Female;Single;Self Employeed;Post Graduate;High;25001 to 50000;3;130.103;775.796;560080;No;Negative 
26;Male;Prefer not to say;Self Employeed;Post Graduate;Wealthy;More than 50000;2;130.103;775.796;560080;Yes;Positive
21;Male;Married;Employee;Doctor of Philosophy;Wealthy;More than 50000;3;129.306;775.434;560085;Yes;Positive
29;Male;Single;Employee;Graduate;High;25001 to 50000;3;130.641;775.931;560092;No;Negative 
22;Male;Single;Student;Graduate;Unknown;No Income;3;130.158;77.539;560096;Yes;Positive
24;Male;Single;Student;Graduate;Unknown;No Income;2;129.561;775.921;560027;Yes;Positive
27;Male;Married;Employee;Graduate;High;25001 to 50000;2;128.845;776.036;560076;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;3;129.369;776.407;560095;No;Positive
32;Male;Married;Employee;Post Graduate;Wealthy;More than 50000;6;129.369;776.407;560095;Yes;Positive
22;Female;Single;Student;Graduate;Unknown;No Income;2;129.369;776.407;560095;Yes;Positive
22;Female;Single;Employee;Graduate;High;25001 to 50000;4;128.845;776.036;560076;Yes;Positive
26;Male;Married;Employee;Graduate;Wealthy;More than 50000;4;129.048;776.821;560036;Yes;Positive
25;Female;Single;Student;Doctor of Philosophy;Unknown;No Income;3;129.048;776.821;560036;Yes;Positive
20;Male;Single;Student;Graduate;Unknown;No Income;2;129.261;776.221;560034;Yes;Positive
29;Male;Married;Employee;Graduate;High;25001 to 50000;4;129.261;776.221;560034;No;Negative 
23;Female;Single;Student;Graduate;Unknown;No Income;1;12.977;775.773;560009;Yes;Positive
25;Male;Single;Self Employeed;Graduate;Wealthy;More than 50000;2;129.783;776.408;560038;Yes;Positive
29;Female;Married;Employee;Graduate;High;25001 to 50000;4;129.783;776.408;560038;No;Negative 
27;Male;Married;Self Employeed;Graduate;High;25001 to 50000;6;129.217;775.936;560041;No;Positive
25;Male;Single;Self Employeed;Graduate;Medium;10001 to 25000;3;130.206;776.479;560043;Yes;Positive
21;Male;Single;Student;Graduate;Unknown;No Income;2;130.012;775.995;560046;No;Negative 
23;Male;Single;Student;Graduate;Unknown;No Income;3;130.223;777.132;560049;Yes;Positive
24;Female;Single;Employee;Post Graduate;Medium;10001 to 25000;4;129.337;77.59;560011;Yes;Positive
22;Male;Married;Self Employeed;School;Medium;10001 to 25000;3;12.982;776.256;560008;Yes;Negative 
28;Male;Married;Employee;Post Graduate;High;25001 to 50000;5;130.262;77.62;560045;Yes;Positive
26;Male;Single;Employee;Graduate;Medium;10001 to 25000;2;129.217;775.936;560041;No;Negative 
22;Female;Single;Employee;Graduate;High;25001 to 50000;4;128.845;776.036;560076;Yes;Positive
26;Male;Married;Employee;Graduate;Wealthy;More than 50000;4;129.048;776.821;560036;Yes;Positive
25;Female;Single;Student;Doctor of Philosophy;Unknown;No Income;3;129.048;776.821;560036;Yes;Positive
20;Male;Single;Student;Graduate;Unknown;No Income;2;129.261;776.221;560034;Yes;Positive
29;Male;Married;Employee;Graduate;High;25001 to 50000;4;129.261;776.221;560034;No;Negative 
23;Female;Single;Student;Graduate;Unknown;No Income;1;12.977;775.773;560009;Yes;Positive
25;Male;Single;Self Employeed;Graduate;Wealthy;More than 50000;2;129.783;776.408;560038;Yes;Positive
29;Female;Married;Employee;Graduate;High;25001 to 50000;4;129.783;776.408;560038;No;Positive
27;Male;Married;Self Employeed;Graduate;High;25001 to 50000;6;129.217;775.936;560041;No;Positive
25;Male;Single;Self Employeed;Graduate;Medium;10001 to 25000;3;130.206;776.479;560043;Yes;Positive
21;Male;Single;Student;Graduate;Unknown;No Income;2;130.012;775.995;560046;No;Positive
24;Male;Single;Student;Post Graduate;Unknown;No Income;2;129.706;776.529;560075;Yes;Positive
26;Female;Married;Self Employeed;Graduate;Medium;10001 to 25000;5;129.706;776.529;560075;No;Negative 
32;Male;Married;Employee;Graduate;High;25001 to 50000;3;129.706;776.529;560075;Yes;Positive
29;Male;Single;Self Employeed;Graduate;Wealthy;More than 50000;6;128.845;776.036;560076;Yes;Positive
21;Male;Single;Student;Graduate;Unknown;No Income;5;129.783;776.408;560038;Yes;Positive
24;Female;Single;Self Employeed;Post Graduate;High;25001 to 50000;3;130.103;775.796;560080;No;Negative 
26;Male;Prefer not to say;Self Employeed;Post Graduate;Wealthy;More than 50000;2;130.103;775.796;560080;Yes;Positive
31;Male;Married;Employee;Doctor of Philosophy;Wealthy;More than 50000;3;129.306;775.434;560085;Yes;Positive
29;Male;Single;Employee;Graduate;High;25001 to 50000;3;130.641;775.931;560092;No;Negative 
22;Male;Single;Student;Graduate;Unknown;No Income;3;130.158;77.539;560096;Yes;Positive
24;Male;Single;Student;Graduate;Unknown;No Income;2;129.561;775.921;560027;Yes;Positive
27;Male;Married;Employee;Graduate;High;25001 to 50000;2;128.845;776.036;560076;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;3;129.369;776.407;560095;No;Positive
30;Male;Married;Employee;Post Graduate;Wealthy;More than 50000;6;129.369;776.407;560095;Yes;Positive
22;Female;Single;Student;Graduate;Unknown;No Income;2;129.369;776.407;560095;Yes;Positive
28;Male;Married;Employee;Graduate;High;25001 to 50000;3;129.369;776.407;560095;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;2;130.158;77.539;560096;Yes;Positive
30;Male;Married;Self Employeed;Graduate;Wealthy;More than 50000;1;130.809;775.565;560097;No;Negative 
21;Male;Single;Student;Graduate;Unknown;No Income;3;130.641;775.931;560092;Yes;Negative 
26;Female;Married;Employee;Graduate;Low;Below Rs.10000;6;129.859;776.713;560093;No;Negative 
25;Male;Single;Self Employeed;School;Wealthy;More than 50000;3;129.859;776.713;560093;Yes;Positive
31;Male;Prefer not to say;Employee;Graduate;Low;Below Rs.10000;1;129.866;774.904;560091;No;Negative 
23;Female;Single;Employee;Post Graduate;High;25001 to 50000;2;129.847;775.491;560100;Yes;Positive
22;Male;Single;Student;Post Graduate;Low;Below Rs.10000;4;12.985;775.533;560010;Yes;Positive
27;Female;Married;Employee;Post Graduate;Wealthy;More than 50000;2;129.299;776.848;560103;Yes;Positive
22;Male;Single;Student;Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
24;Female;Single;Student;Post Graduate;Unknown;No Income;3;129.828;776.131;560042;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;2;129.766;775.993;560001;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;4;129.854;777.081;560048;Yes;Positive
22;Female;Single;Student;Post Graduate;Unknown;No Income;5;12.985;775.533;560010;Yes;Positive
23;Male;Single;Student;Post Graduate;Low;Below Rs.10000;2;12.977;775.773;560009;Yes;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;5;128.988;775.764;560078;Yes;Positive
